ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
501
ITEM: BOX BOUNDS pp pp pp
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
9 -0.405363 -0.674797 0.158989
257 -0.511286 -0.225834 0.117078
57 0.0766642 0.537065 -0.0602436
490 -1.0495 0.316268 -0.78223
498 -1.55921 0.36253 0.923601
386 0.206326 0.293669 0.536436
418 0.134741 -0.220584 -1.5437
50 0.595262 0.441594 -0.298085
58 0.198223 -0.663876 0.346513
218 -0.864256 -0.702462 0.585136
467 -0.268155 -0.347791 0.790784
411 0.522665 0.519012 -0.599149
51 -0.583731 -0.748451 0.3357
219 -0.0943859 0.566741 1.28366
171 -0.196073 0.825842 -0.94216
195 1.0257 -0.764769 0.0160482
484 -0.712776 0.749147 -0.321574
148 -0.348034 0.234333 -0.703426
444 -1.01473 0.324182 0.402593
372 0.847545 -0.574254 0.00718155
116 -0.482449 -0.398594 -0.000116122
420 -1.73179 1.30905 1.55791
260 0.593911 0.796541 0.139001
188 1.47968 0.0694504 0.570212
486 -0.157806 0.447427 -0.182558
118 -0.816082 -0.00456351 1.27716
374 -0.509472 -1.13677 -0.990889
54 -0.48317 0.64337 -0.773815
487 -0.0482377 -0.439516 -1.06122
479 -0.276718 -0.867283 -0.145453
119 -0.0542607 -0.668004 0.173175
391 -0.627885 0.467664 -0.129426
407 -0.082303 -0.786041 -0.596804
423 -0.460531 0.488066 0.570685
95 -1.26874 -0.31217 -0.362352
463 0.325339 -0.535396 -0.0549008
79 0.299205 0.416009 -0.451072
295 -0.455309 -0.286067 -0.483473
47 0.366022 -0.498641 -0.045313
223 1.43678 0.529823 0.40752
239 0.731746 -0.20486 -0.611297
263 0.429382 0.0930457 -0.0568538
31 0.157398 0.483332 -0.0101262
414 1.29603 0.366803 -0.462865
366 0.551734 0.14514 -0.76673
438 0.256074 -0.597638 -0.351278
318 -0.511071 0.332631 -0.288245
334 -0.620397 -0.00344118 0.420229
166 0.033718 -0.650032 -0.502206
214 -0.83013 0.930701 0.403337
190 -1.05927 -0.182224 -1.15317
144 0.625192 -0.182585 0.254564
432 0.622416 -1.18384 0.391305
440 0.441665 -0.538216 0.180398
352 -0.256724 0.879633 -0.398179
425 -0.236542 -0.666714 -0.124338
441 0.0891438 0.540628 -0.784492
449 0.906039 -1.12526 -0.697965
113 -0.419232 -0.00484533 0.645188
361 -0.855683 0.271205 0.212107
73 -0.0286222 -0.734451 -0.299487
193 0.483608 1.25866 -0.668516
201 0.393734 -0.154527 -0.57148
249 0.281659 0.392039 0.0514946
41 -0.173829 0.832839 0.203677
154 -0.646579 -0.595669 0.715533
474 -0.00819377 -0.21519 -0.779777
434 -0.0337987 -0.241483 -0.107656
458 -0.686779 -0.267548 0.997695
130 0.0835576 0.183961 -0.919704
394 -0.34389 -1.52112 -0.344343
410 1.17314 0.2536 -0.636311
106 0.563274 0.126549 0.418229
98 0.526679 0.209553 0.35231
90 -0.539714 -0.256643 0.244474
347 0.37972 1.88299 -0.978249
139 -0.580664 -0.506686 0.158174
147 -0.738077 -1.16139 0.0654968
435 0.342458 0.614685 0.0829893
67 0.134443 0.0974241 -0.0536559
227 0.407031 -0.474447 0.504099
380 0.369253 -0.0428009 0.713452
492 0.744301 -1.11062 -1.39047
140 -0.256238 -0.0734988 0.0191598
132 -0.159544 0.226205 0.562931
452 0.820786 0.109784 0.615061
413 0.652577 1.2546 -0.542022
397 0.911473 -1.15951 -0.0629779
485 0.548073 -0.321174 -1.54705
141 1.23644 -0.219825 -0.549316
429 -1.07264 0.0836943 0.813007
133 -0.186379 -0.734605 0.605467
285 -0.292534 0.109658 0.293286
61 -0.139541 0.41865 -0.0643437
301 -0.302437 0.314391 -0.534505
29 0.487215 1.16956 -0.010613
495 -0.712795 -0.572291 0.130419
135 0.69247 -0.0489303 -0.147286
455 0.422132 -0.582032 -0.215999
415 0.0919137 -0.774325 0.0764022
159 -0.956703 0.0131032 0.55538
287 -0.86343 0.720964 1.05811
231 -0.356846 0.415353 -0.505892
175 -0.464564 0.319486 -0.910965
7 -0.139827 -0.131611 -0.58679
143 -0.256933 -1.09081 -0.360407
431 -0.556871 -0.0247493 1.44188
87 -0.208559 -0.147434 0.403166
151 0.887964 -0.329012 -0.11615
471 0.315932 1.3152 0.811486
311 0.132719 1.77859 -1.16643
55 -1.77082 -0.842598 -0.55644
207 -0.041505 -0.031482 -0.845638
160 -0.91743 0.15798 0.659521
448 0.0420487 -0.0418021 -0.00940882
392 0.0966567 -1.09767 0.594396
400 0.915202 -1.83503 -0.731228
360 -0.954945 0.0635834 -0.375644
312 0.142836 0.949339 0.264297
320 -0.634922 0.10001 0.79459
344 -1.15319 -1.16182 -0.0639383
288 -0.897175 -1.09986 0.0300598
161 0.709073 -0.371231 0.139551
473 0.828571 0.598313 -0.745814
137 0.0272927 -0.837415 -0.00112093
129 -0.0497457 -0.0871983 0.217469
385 -0.0292283 -0.833937 0.125332
105 -0.0465147 0.00280336 0.0564615
89 -0.386527 0.416253 -0.22324
321 0.630416 0.0227222 0.256727
329 -0.84926 -0.732134 0.443139
289 -1.46493 -0.908498 -0.793528
162 -0.440289 0.379122 -0.0439698
370 0.419323 0.0240776 -0.918589
82 0.19239 0.628109 -0.245435
338 -0.417946 -0.37594 0.765811
290 0.0760744 0.785109 0.834504
2 0.100424 -0.0379833 0.967599
75 -0.730622 -0.0124819 -0.574691
163 -0.402761 -0.80321 0.453822
475 -0.747502 0.253198 -0.326701
491 -0.271812 -0.455484 -0.135478
323 0.623721 0.797105 -0.0466474
395 0.189653 -0.778246 -1.0323
403 -0.033707 -0.894955 0.901234
363 -0.155405 0.999593 -0.327056
299 0.466375 1.06424 -0.514714
179 0.719447 0.156141 -0.527603
476 0.110579 -0.357601 -1.04085
500 0.511688 0.249706 1.81473
388 -0.565552 -0.982152 0.48661
292 -0.183268 0.390468 -0.371036
172 -0.524273 0.569293 -0.586779
348 0.959188 -0.625338 -0.483529
204 0.175714 0.507763 -0.921412
165 0.181721 -0.387281 -0.322463
477 -1.54405 -0.0485066 -0.485778
149 0.950476 -0.695989 -0.339326
381 0.574311 -0.856369 -0.983688
69 -0.721759 1.35988 -0.0462967
470 0.193714 1.80202 0.483737
134 0.361583 -0.0718658 -0.476525
342 0.816938 -0.3795 -0.787121
270 1.13797 0.296996 0.344883
278 -0.750148 -1.24409 -0.196237
222 -0.597453 0.224219 0.604653
ITEM: TIMESTEP
10000
ITEM: NUMBER OF ATOMS
501
ITEM: BOX BOUNDS pp pp pp
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
-3.3572466328349999e+00 3.3572466328349999e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
136 0.277231 0.45677 0.303659
120 0.137528 -0.333887 0.521602
200 0.690833 -1.23761 0.447791
199 0.802152 -0.129415 -0.772424
483 -0.025337 -0.211446 0.552715
280 -0.648727 -1.44287 0.829386
296 0.718737 0.224659 -0.0212626
155 0.557846 0.17589 -0.0839887
304 -0.624139 0.459772 0.347117
24 -0.480804 0.584514 0.765076
401 -0.480074 1.18988 -0.122939
97 1.03299 -0.357792 0.856817
265 0.146588 0.395808 -0.725775
25 0.704754 0.4469 0.461728
169 0.191654 0.21513 0.249381
286 -0.0667525 0.29742 0.854371
225 0.015015 1.48892 -0.0981688
103 -0.320605 0.124142 -1.45019
442 0.788152 0.530867 -0.221688
314 1.31716 -0.470468 -0.787865
322 0.932292 0.166978 -0.330076
234 0.830992 -1.33981 -1.3646
242 0.922602 0.58323 -0.354251
343 -0.137259 1.28502 -0.837579
18 -0.551172 0.359217 0.464613
186 -0.0566542 -0.30436 -0.176667
194 -1.9651 0.751613 -0.566441
66 0.0021282 -0.00902348 -0.662545
76 -0.0275838 -0.271747 0.234799
266 0.0701295 -0.71089 0.0520696
451 -0.887 0.243651 1.20284
115 -0.348718 -0.598203 0.351459
419 0.462878 -0.0195239 0.0780978
99 1.07929 0.246694 0.0622344
39 -0.268527 -0.7019 0.615191
3 1.14853 0.66596 -0.46009
428 0.523126 -0.00769997 0.396127
332 0.0486469 -0.208404 -0.410673
340 0.0329357 0.352772 -0.431877
220 0.38392 0.15719 0.697038
173 -0.328515 0.243604 -1.25477
20 -0.0473629 -0.613097 0.620349
4 0.309946 -0.350246 0.941497
275 -0.115365 0.0870294 0.289913
37 -0.362521 -0.473449 0.238888
13 -0.0165965 0.653382 0.0499596
399 0.379641 -0.352715 0.107496
454 0.681979 -1.50434 -0.208669
478 0.530879 -0.59679 -0.47304
351 -0.220641 -0.128445 0.959169
215 1.13625 0.306479 0.138306
350 0.0797589 -0.905352 0.390681
383 -0.433637 0.902181 0.432625
167 -0.583203 0.139423 -1.21057
238 -1.42361 0.0213281 0.402777
174 0.21012 -1.14748 -0.430168
6 -0.244956 0.401379 0.264989
439 0.440314 -0.2867 -0.0128469
102 0.691826 0.261301 -0.144762
1 -0.294069 -0.399161 -0.170041
426 -0.431729 0.18664 -0.545149
228 -1.78337 0.579234 -0.392438
412 0.223974 0.113221 1.9725
255 -0.505317 0.392009 0.659936
272 -0.513087 -0.00690959 -0.220017
184 0.231922 0.568745 1.58816
142 0.124686 0.357057 -0.0240709
8 0.0121985 0.610611 -0.031236
178 0.377819 -0.682057 1.00011
10 -0.426494 0.503107 0.22997
158 -0.676576 0.102035 0.360783
109 -0.0688616 0.573936 0.743592
273 0.590787 -0.116479 0.341387
177 0.566229 0.184735 -1.24252
222 1.01111 0.552321 -0.0126719
49 -0.110803 0.342843 -0.943026
233 -1.48055 -0.508334 0.177297
216 0.0677477 2.00533 0.184427
152 -0.860367 0.0788074 -0.305264
480 -0.463755 -0.0207034 -0.916599
384 0.0646766 -0.398783 1.00817
408 -0.486042 0.226855 -0.0195348
376 -0.198372 0.594263 -0.770739
40 -0.391492 0.254985 -0.84523
315 0.602352 0.375064 -0.507301
240 0.0796832 0.441872 0.146405
264 0.453693 -0.779374 -0.592026
306 0.0600075 1.20429 0.364429
482 0.382585 0.995196 0.931331
42 -0.247497 -0.367131 0.205226
226 -0.0926256 -0.740031 0.0818483
258 -0.132285 0.648706 1.14275
34 0.0515403 0.835595 -0.123316
499 -0.0930277 -0.620638 0.275498
331 0.540484 -0.316372 -0.470733
283 0.679448 -0.450103 0.273203
422 -0.0529367 -1.07049 1.47265
43 -0.612795 0.0937808 -0.296589
251 1.19477 0.315611 -0.420814
164 -0.0705766 0.131833 -0.200985
191 -0.399187 -1.28227 -0.257607
23 -0.977918 -0.0377898 -0.500331
316 -0.991493 0.380693 -0.736731
324 -0.720143 0.078632 -0.584246
294 -0.0553904 0.379724 0.332258
284 0.122278 0.623808 0.366485
44 0.675485 0.358567 0.0757438
437 -0.125457 -0.736467 -2.09962
36 0.26447 -0.796069 0.501042
196 0.795322 0.684318 1.88412
493 -1.18824 -0.300312 -1.46042
232 -0.641423 1.99835 0.0136774
445 -0.395133 -0.452844 -0.352026
85 -1.24986 -0.00636487 -0.669991
93 0.0913497 0.721408 -0.55561
325 0.669839 0.800475 -0.358658
333 0.315553 0.203081 -0.394816
254 -0.492473 -1.21619 -0.138031
53 -0.0373068 0.389685 -0.356017
221 -0.853642 -0.812118 0.518629
229 1.64905 -0.393451 0.180042
245 0.296367 -0.405188 0.127762
252 -1.13126 -0.56714 0.093891
15 0.179315 -0.0545874 0.37305
209 -0.161058 -0.00783358 0.27016
86 -0.476059 0.352632 -1.32356
326 -1.14367 1.38662 -1.71968
45 -0.441081 -0.144824 0.769077
46 0.306624 -0.0240538 0.299903
14 1.639 -0.288771 0.192009
182 1.11344 -0.153079 -1.12794
335 -0.173394 0.305822 -1.16545
79 -0.0823605 0.337025 -0.595167
319 -0.128992 -0.0586127 -0.550296
382 -0.0241205 1.41673 0.429669
57 -0.60466 0.144169 -1.13821
118 -0.332681 -0.125743 0.272599
83 -0.144947 -0.702096 0.850074
192 -0.0603507 0.417523 0.511637
460 0.707769 0.811108 0.296041
466 0.152331 -0.573844 0.00603851
250 -0.504221 0.0237858 0.378215
261 -1.03529 -0.236659 0.620024
202 -0.00553689 1.49697 -0.0390961
274 0.142219 -0.461177 1.07996
230 -0.791004 -0.941397 0.319568
183 -0.576128 -0.701296 -0.0438019
112 0.658492 -0.250194 0.985665
80 -0.179871 0.355429 0.142368
72 0.580978 0.352079 -0.349056
176 0.296573 0.389805 -0.768177
150 0.652312 -0.323349 0.0300851
56 -0.511614 -0.187896 0.743938
224 -0.0175378 0.278237 1.26499
465 0.375049 -1.10863 0.365707
153 1.52625 0.168288 -0.43731
81 0.258724 0.0713142 -0.586855
297 0.524612 -0.167573 2.07507
17 -0.552684 0.0728311 -0.122378
468 -0.348475 -0.677649 0.615678
443 0.895966 -0.25955 -0.794149
131 0.312724 0.54115 0.0118161
387 0.490104 1.5508 0.156493
64 -0.27031 -0.71216 0.288666
235 0.499437 -0.125588 0.332987
259 -0.76715 -0.679487 0.828151
19 0.0582156 -0.293582 0.45401
187 -1.27321 -0.982474 0.407343
247 -0.645956 0.736199 -0.0170206
364 0.531074 0.358827 -0.524339
404 0.405846 0.0342845 -0.600876
92 0.411997 0.713669 0.335773
71 -0.304341 -0.198043 0.104034
276 0.955314 -0.339158 0.543955
300 -0.507293 0.214219 -1.39416
356 0.595653 0.590399 0.335971
244 -0.31143 -0.274885 0.259405
308 -0.0922153 -0.275596 -0.103351
28 -0.744525 -0.338837 0.133165
469 0.345917 0.951863 0.0201339
269 -0.300926 -0.375232 -0.1352
277 -0.685268 -0.889185 0.831726
293 -0.538759 -0.902708 0.688693
185 0.476064 0.289116 0.678507
213 -0.282676 0.615343 -0.274464
210 -1.68868 0.0914557 -0.305025
424 -0.425246 -0.568385 -1.12264
446 1.33101 0.745516 -0.182312
310 -0.742827 0.821738 -0.147142
78 -0.578745 -0.055604 -0.0844007
70 -0.10525 0.199638 -0.131311
126 -0.36956 -0.147099 0.285744
198 -1.21233 -0.921525 1.28055
375 0.295787 0.348735 0.813941
327 0.22273 -0.965894 -0.456383
262 0.503755 -0.665462 1.18917
307 -1.00916 -0.402657 -0.691738
279 -1.56535 0.546884 -0.828414
246 0.397123 0.105952 0.265132
459 0.291617 0.384354 0.303911
427 0.382158 0.34946 0.186367
339 1.57644 -0.158563 0.987379
