# Time-averaged data for fix dump_rdf_all
# TimeStep Number-of-rows
# Row c_calc_rdf_all[1] c_calc_rdf_all[2] c_calc_rdf_all[3]
20000 1000
452 1.90775 0.989241 48.5415
453 1.91197 0.984583 48.8572
454 1.9162 0.984995 49.1744
455 1.92042 0.980939 49.4917
456 1.92465 0.975787 49.8087
457 1.92887 0.970807 50.1254
458 1.9331 0.964694 50.4416
459 1.93732 0.961572 50.7581
460 1.94155 0.960413 51.0756
461 1.94577 0.960475 51.3945
462 1.95 0.95314 51.7124
463 1.95423 0.946976 52.0296
464 1.95845 0.938082 52.3451
465 1.96268 0.939416 52.6625
466 1.9669 0.940264 52.9815
467 1.97113 0.937942 53.3011
468 1.97535 0.936097 53.6214
469 1.97958 0.935472 53.9429
470 1.9838 0.929528 54.2637
471 1.98803 0.928939 54.5857
472 1.99225 0.930338 54.9096
473 1.99648 0.933556 55.2359
474 2.0007 0.928538 55.5619
475 2.00493 0.927253 55.8888
476 2.00915 0.928219 56.2174
477 2.01338 0.925506 56.5464
478 2.01761 0.929533 56.8783
479 2.02183 0.925997 57.2102
480 2.02606 0.922408 57.5423
481 2.03028 0.92159 57.8755
482 2.03451 0.924338 58.211
483 2.03873 0.922053 58.5471
484 2.04296 0.923538 58.8852
485 2.04718 0.92236 59.2242
486 2.05141 0.922518 59.5646
487 2.05563 0.9211 59.906
488 2.05986 0.923524 60.2497
489 2.06408 0.928075 60.5964
490 2.06831 0.924929 60.9434
491 2.07254 0.928782 61.2933
492 2.07676 0.927121 61.644
493 2.08099 0.933408 61.9985
494 2.08521 0.934823 62.355
495 2.08944 0.938112 62.7142
496 2.09366 0.94215 63.0763
497 2.09789 0.942191 63.44
498 2.10211 0.946564 63.8068
499 2.10634 0.946028 64.1749
500 2.11056 0.945076 64.5442
501 2.11479 0.953911 64.9183
502 2.11901 0.95517 65.2944
503 2.12324 0.949652 65.6699
504 2.12746 0.949253 66.0467
505 2.13169 0.954392 66.427
506 2.13592 0.958512 66.8106
507 2.14014 0.955665 67.1944
508 2.14437 0.957374 67.5805
509 2.14859 0.955924 67.9675
510 2.15282 0.966373 68.3603
511 2.15704 0.96537 68.7543
512 2.16127 0.96665 69.1502
513 2.16549 0.96771 69.5482
514 2.16972 0.969954 69.9487
515 2.17394 0.975093 70.3528
516 2.17817 0.974165 70.7582
517 2.18239 0.976202 71.1659
518 2.18662 0.980579 71.5771
519 2.19085 0.97717 71.9885
520 2.19507 0.979901 72.4025
521 2.1993 0.987544 72.8215
522 2.20352 0.989869 73.243
523 2.20775 0.987876 73.6653
524 2.21197 0.990556 74.0903
525 2.2162 0.997749 74.5201
526 2.22042 0.993474 74.9497
527 2.22465 0.992337 75.3804
528 2.22887 0.994358 75.8136
529 2.2331 0.993461 76.2481
530 2.23732 0.994211 76.6845
531 2.24155 0.997172 77.1239
532 2.24577 1.00145 77.5669
533 2.25 1.00447 78.0129
534 2.25423 1.00373 78.4602
535 2.25845 1.00657 78.9104
536 2.26268 1.00838 79.3632
537 2.2669 1.00789 79.8174
538 2.27113 1.01045 80.2745
539 2.27535 1.01275 80.7344
540 2.27958 1.01242 81.1958
541 2.2838 1.01537 81.6602
542 2.28803 1.01292 82.1253
543 2.29225 1.01274 82.592
544 2.29648 1.01304 83.0605
545 2.3007 1.00692 83.5279
546 2.30493 1.00452 83.996
547 2.30915 1.00341 84.4652
548 2.31338 1.00787 84.9382
549 2.31761 1.00234 85.4104
550 2.32183 1.00388 85.885
551 2.32606 1.00434 86.3616
552 2.33028 0.999306 86.8375
553 2.33451 1.00499 87.3178
554 2.33873 0.998827 87.797
555 2.34296 0.995882 88.2764
556 2.34718 0.998215 88.7587
557 2.35141 0.998906 89.2431
558 2.35563 1.00275 89.7311
559 2.35986 1.00169 90.2203
560 2.36408 0.999339 90.7101
561 2.36831 0.996068 91.2001
562 2.37254 0.997082 91.6923
563 2.37676 0.995525 92.1855
564 2.38099 0.993754 92.6796
565 2.38521 0.993578 93.1754
566 2.38944 0.99281 93.6725
567 2.39366 0.989708 94.1698
568 2.39789 0.988778 94.6684
569 2.40211 0.988642 95.1687
570 2.40634 0.989334 95.6711
571 2.41056 0.988892 96.1751
572 2.41479 0.986996 96.6798
573 2.41901 0.985794 97.1857
574 2.42324 0.987215 97.6941
575 2.42746 0.985305 98.2033
576 2.43169 0.984485 98.7139
577 2.43592 0.984769 99.2263
578 2.44014 0.987396 99.7419
579 2.44437 0.987969 100.26
580 2.44859 0.988682 100.779
581 2.45282 0.992937 101.303
582 2.45704 0.993676 101.83
583 2.46127 0.99299 102.357
584 2.46549 0.988851 102.884
585 2.46972 0.993998 103.416
586 2.47394 0.991445 103.948
587 2.47817 0.993818 104.483
588 2.48239 0.996646 105.022
589 2.48662 0.991469 105.56
590 2.49085 0.992265 106.1
591 2.49507 0.994583 106.643
592 2.4993 0.996532 107.189
593 2.50352 0.996792 107.736
594 2.50775 0.996142 108.286
595 2.51197 0.995804 108.837
596 2.5162 0.996775 109.39
597 2.52042 0.999069 109.947
598 2.52465 1.00024 110.506
599 2.52887 0.997364 111.065
600 2.5331 0.999903 111.628
601 2.53732 0.998844 112.192
602 2.54155 0.999009 112.758
603 2.54577 0.997813 113.325
604 2.55 1.00346 113.897
605 2.55423 1.00404 114.472
606 2.55845 1.00248 115.047
607 2.56268 1.00279 115.625
608 2.5669 1.00712 116.207
609 2.57113 1.00641 116.79
610 2.57535 1.01054 117.378
611 2.57958 1.00988 117.968
612 2.5838 1.00858 118.558
613 2.58803 1.00942 119.151
614 2.59225 1.01721 119.751
615 2.59648 1.01508 120.351
616 2.6007 1.01092 120.95
617 2.60493 1.01462 121.554
618 2.60915 1.01734 122.162
619 2.61338 1.01603 122.77
620 2.61761 1.01873 123.382
621 2.62183 1.01555 123.994
622 2.62606 1.0149 124.608
623 2.63028 1.02028 125.227
624 2.63451 1.01823 125.847
625 2.63873 1.02111 126.471
626 2.64296 1.02159 127.097
