ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
1200
ITEM: BOX BOUNDS pp pp pp
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
-4.4919104223854296e+00 4.4919104223854296e+00
ITEM: ATOMS id f_aveg_velocity_dist[1] f_aveg_velocity_dist[2] f_aveg_velocity_dist[3]
515 0.197316 -0.984673 -1.1796
523 -0.16482 -0.228009 -0.542445
531 -1.55054 0.590313 0.264092
67 0.425169 -0.348068 0.39525
539 -0.110505 -0.677288 -0.0175945
547 -0.473136 -0.580583 0.601861
555 1.25262 0.487169 -0.146094
563 -0.524797 0.115134 0.0629997
571 0.313563 -1.05836 0.360896
587 -0.165092 -0.192873 0.124624
59 0.661922 -0.000815929 -0.64328
595 0.311383 0.187846 0.683923
603 -0.105296 0.792896 -1.29276
611 0.914237 0.316319 0.338346
619 -0.0278245 1.07646 0.543817
427 -0.440425 0.012473 0.421747
3 -0.0938199 -0.0508003 -0.420145
732 0.872825 -0.273771 -0.0276416
788 -0.191131 -0.0179252 -0.690695
76 -0.42767 0.0845568 -0.182966
84 -0.263437 0.395951 0.287663
92 -0.998448 -0.354972 -0.0934613
100 -0.914041 -0.421462 -0.468177
108 0.133581 0.210846 0.311561
508 0.929616 0.268199 -0.841302
516 0.768969 0.728188 0.657649
68 -1.19138 0.048735 0.232911
532 -0.260885 0.675944 0.353892
540 1.12357 0.324861 0.576363
548 -0.164878 1.6161 0.444027
564 1.37235 0.503754 1.12919
572 1.164 0.117642 -1.48107
580 -0.663135 -1.19193 -0.349836
588 0.674905 -0.300584 0.602833
596 -0.618257 0.642843 -1.30439
604 0.10249 -0.177189 0.0057727
612 0.746279 1.03821 0.95402
420 0.36068 -0.279081 0.854831
428 -0.784273 0.342843 -0.329253
484 0.993508 0.154492 -0.39764
269 -0.040041 0.239863 -0.527474
85 -0.712184 -1.12158 0.123759
93 0.0660065 0.309597 0.0803662
109 -0.00696382 1.03713 -0.669748
509 -0.295445 -0.889607 -0.584462
517 -0.204281 -0.170954 -0.642336
525 0.311669 0.481078 -1.09485
533 -0.138967 -0.308004 -0.692153
541 0.82419 -0.0162273 -0.262987
549 -0.0268706 -0.251849 -0.774708
557 0.444853 0.0649058 0.998411
565 0.0781483 0.0473029 0.153587
573 0.849796 0.163696 0.201506
61 1.05727 0.216559 -0.390075
581 -0.100197 0.263473 -0.344329
589 -0.0145954 -0.376673 -0.263916
597 -0.13109 -0.449161 -0.1122
605 -1.48579 0.0893002 -0.636764
613 -0.585291 -1.40861 -0.0852912
5 -0.0480646 0.108085 0.497215
150 -0.217644 0.376414 0.70738
78 0.973924 -0.181335 -0.772697
86 0.745337 1.05958 -0.243234
94 -0.502332 0.664342 -0.511455
102 -0.631679 -0.346908 -0.719675
110 0.4548 0.087959 0.39237
510 0.183911 0.160084 0.710483
518 -0.708029 -0.602309 0.0280947
526 0.226895 0.428502 0.0680985
534 -1.31187 0.504243 -0.582383
542 0.662915 -1.52525 -0.608549
62 0.280274 -0.136477 0.933238
574 0.889853 -0.271406 0.47644
582 -0.20794 0.0857592 0.745672
598 -1.19104 -0.4215 -0.272032
614 0.163386 -0.825833 1.62099
422 0.427455 -0.221615 -0.511862
743 -0.173602 -0.512604 1.06007
759 -0.150647 1.29571 -0.0995109
79 0.419324 -0.563759 -0.918484
87 -0.133743 -0.149837 1.02226
95 -0.485907 0.446051 0.124721
103 0.52937 -0.874473 -0.00880057
111 0.729472 0.701536 -0.0454814
71 -0.142449 0.868819 -0.200261
511 1.39388 -1.71479 0.365943
519 -0.603769 -0.612094 0.205578
527 1.22491 -0.0873202 0.129341
543 -0.799377 0.170592 -0.153468
551 -0.441624 0.743166 -0.692986
63 -0.143622 -0.637569 -0.354388
575 -0.31862 -0.202923 0.859647
583 -0.362859 -0.0983438 0.216529
591 0.434814 -0.95743 -0.054917
599 -0.130644 0.643943 2.06866
607 1.06698 0.0126109 -0.131497
615 -0.410834 -0.503288 -0.233602
55 -0.712914 0.157634 0.485443
722 -0.39892 0.305852 -0.191705
714 0.890435 -0.945408 -0.323699
114 0.845248 0.214738 0.297613
706 0.631045 0.720188 -0.313336
698 0.322795 0.821623 1.30242
690 0.159245 -0.186397 -0.967167
682 -0.32379 -0.113449 0.0735321
674 -0.0732089 1.2434 -0.246825
666 1.05686 -1.04457 -0.404384
658 -0.603728 -0.0859209 1.6539
122 -0.101851 0.6538 -0.189593
650 0.570975 0.26469 -0.972283
642 0.22996 0.931877 -0.0368776
634 -1.08351 -0.47997 -1.11265
626 -1.28875 0.542552 -0.761627
146 0.230501 -0.483336 0.805462
138 0.242438 0.155733 0.0776166
1098 -0.137858 0.583788 -0.554403
194 0.749153 -0.571127 -0.0965882
770 -0.534531 0.668296 -0.412773
192 -0.647871 -0.0210155 -0.113856
136 0.276497 -0.444966 -0.548409
144 -1.19228 0.0364679 0.314211
128 0.368258 -0.546177 0.218074
624 -1.05423 -0.0490702 -1.1972
640 -0.310914 0.506961 -0.0281437
648 -0.276961 -0.35942 -0.215711
664 0.0939273 -0.317889 -0.760376
120 -0.6695 0.0436889 -0.641472
680 0.234331 0.730351 0.293498
688 0.981974 -0.363808 -0.130662
696 -0.775487 0.33508 0.0181624
704 -0.0329022 -0.29911 0.0987945
112 0.0972864 -0.416552 0.00807887
1025 0.428106 0.463752 0.237049
193 0.155271 0.304379 0.207506
769 -0.318134 -0.377895 0.6701
137 -0.421611 -0.344762 0.0692716
129 0.158638 -0.0605634 -0.275945
145 0.150572 -0.127984 -0.169906
625 -0.31286 0.403064 -0.255909
641 -0.0238954 0.604296 -0.537713
649 0.128069 -0.394856 0.182217
657 0.821663 0.161586 -0.675001
665 -0.469071 -1.36185 0.147748
121 -0.0775651 -0.502378 0.0528382
681 0.00495752 0.743907 0.369053
689 -0.398781 -0.0838815 -0.145676
705 0.49785 0.224044 -0.446728
713 -0.114418 -0.49639 0.0995296
721 0.266068 -0.643593 -0.890663
113 -0.0605522 0.635129 -0.469228
9 -0.345238 -0.299014 0.949951
139 -0.0414307 -0.466202 0.229654
147 -0.653466 0.0539056 -0.279235
627 0.729948 -0.531485 -0.767937
635 -0.218878 -0.439518 0.999466
643 -0.00111845 0.0336164 -0.360308
651 -0.272357 0.224728 -1.20287
123 0.868902 -0.666108 -0.510587
659 1.0021 -0.842404 0.0721849
667 -1.55154 0.934438 -0.378624
675 -1.25588 0.302966 0.871914
683 -0.372984 -0.168119 0.209397
691 -0.520673 -0.108144 0.629022
699 0.71503 -0.576772 0.618935
707 -0.510417 0.964282 0.467251
715 0.211905 0.269927 0.808301
723 -0.0705266 0.64027 0.826341
483 1.20577 -0.40726 0.229668
172 -1.43807 -0.303086 -0.0470156
132 -0.316915 -1.06378 -0.401388
140 -0.115498 -0.667681 0.311689
148 0.429312 -0.0563324 0.049005
620 0.468555 0.331347 -1.27953
628 -2.20783 0.735031 -1.69172
636 0.913025 0.297089 0.326918
644 0.813343 -1.41889 0.166155
124 -0.873179 -0.0720355 -0.318722
652 -1.29146 -0.156212 -0.07174
660 0.167015 -0.14639 -0.425691
668 -1.10649 -0.653793 0.376194
684 -0.551363 -0.051298 -0.532993
116 -0.302295 -0.63371 -0.718222
708 -0.908419 -0.610994 0.0371098
716 0.165097 0.893348 0.795584
724 0.704105 -0.141417 -0.189703
28 0.460256 0.103664 0.252347
444 0.114837 0.835156 0.222468
1021 -0.578493 -1.46985 -0.750171
133 0.324033 -0.303456 0.186917
621 -0.556658 -2.05657 1.16379
629 -0.162899 -0.414592 0.539702
637 -0.740496 -0.447537 -0.886363
125 -0.558983 0.0611041 0.0182038
645 -0.638763 -0.214081 0.216038
653 -0.459837 0.946205 -0.328497
661 0.300172 -0.648257 0.674719
669 0.39674 -1.56954 0.432806
677 1.16394 0.55737 0.0630869
685 0.512876 0.0672993 0.652156
693 0.929945 -0.204692 0.911328
117 -0.07361 -0.166916 -0.0677989
701 -1.25882 1.16044 -0.69917
717 0.288989 0.902244 -0.662414
21 -0.519294 0.349029 -0.385579
397 0.0531881 -0.171138 0.112148
182 0.198738 -0.269878 0.0064885
734 -0.0138017 -0.767158 0.123843
134 1.1895 0.0246861 -1.09878
142 -0.125151 0.0930138 0.323751
622 -0.74571 0.849621 -0.215224
630 -0.241778 0.464127 0.470052
126 0.00408395 0.949341 -0.262273
638 0.576026 0.309416 0.609729
654 -0.932521 0.0846252 -0.685195
662 0.50345 -0.246497 0.139573
670 -0.632906 -0.119929 0.226157
678 0.639653 0.840234 0.116001
686 0.669805 0.122407 -0.210412
694 0.114461 -0.167279 0.886241
702 0.67631 2.08306 1.45645
710 -0.0349716 -0.749098 0.0142413
718 0.0827187 -0.928964 2.03384
1031 -0.52096 0.149991 -0.293251
767 1.39733 0.509508 -0.113479
135 0.437487 -0.23783 0.537953
623 -0.531407 0.380087 -1.20392
127 -0.58541 0.185346 -0.0131263
631 -0.447165 -0.773553 1.49977
639 -0.568599 -1.23817 0.861227
647 0.772338 1.36827 -0.661946
655 0.163112 -0.031122 0.309077
663 -0.14904 0.0882736 -0.297539
671 -0.174998 0.731385 0.298501
679 0.171961 0.377844 0.916579
119 -0.00735879 -0.45751 -0.376344
687 0.719151 -0.486986 -0.731952
711 -0.0391419 0.0470554 -0.0523727
719 -0.471209 0.617654 -0.936941
7 -0.126616 0.337001 -0.440063
819 -1.00228 -0.629651 0.289572
811 0.150861 1.00962 0.643628
803 0.319694 1.00748 0.581621
795 -1.20718 -0.324576 -0.48031
787 -0.598971 0.234848 -1.38878
779 0.332245 1.2638 0.308349
155 -0.441778 0.642416 -0.463829
771 0.305938 -0.700676 -0.174664
763 -0.276127 -0.114185 -0.322713
755 0.286733 -0.219384 -0.0491848
747 0.70598 0.229001 0.777931
739 0.155659 -0.0567724 -0.464026
731 0.671088 0.54551 -0.977872
195 -0.0818412 -0.83971 0.6782
163 0.0200479 -0.0451908 -0.0477602
187 -0.405863 0.627844 0.596879
179 0.243078 -0.369796 -0.0653371
171 -0.566416 0.0188 -0.159276
115 -0.0641574 0.59525 -0.652817
1112 -0.0609929 -0.978235 0.453498
168 -0.512045 -0.547859 0.00867396
184 0.787579 0.524768 0.310355
728 0.738544 1.92874 -1.29264
736 0.163062 -0.154676 0.140963
744 0.335066 0.392652 0.0891689
160 0.330439 0.242775 0.0364141
752 0.494085 0.557007 -0.399716
768 -0.378138 0.615204 -0.763628
776 0.24684 0.348755 0.817823
784 -0.101512 -1.08602 0.0787391
792 0.00721627 -0.877436 -0.799416
800 -0.253954 1.09977 0.635239
152 -0.763744 0.158615 -0.333869
808 0.859844 0.25015 0.277597
816 -0.916521 0.424478 -1.64177
632 -0.494992 -0.402599 0.511731
720 -0.0740017 0.258999 0.105599
560 -1.00887 0.326383 -0.138187
513 -0.455233 -0.306969 0.253347
169 0.625147 -0.970619 0.290263
177 -0.285421 -0.576779 0.179374
185 0.214142 -0.158353 0.526416
729 -1.38397 0.508552 -0.139181
737 -0.392621 0.771044 -0.388573
161 0.854312 0.315006 0.0278658
745 -1.41256 -0.381387 0.828107
753 -0.00865726 0.46746 0.209412
761 0.294485 0.795232 0.608703
777 -1.41459 0.350123 0.734772
785 -0.0824681 1.42584 0.771414
793 -0.00713037 -0.0817497 0.251807
153 0.639695 0.325423 0.903245
801 0.0335746 -0.33963 1.1812
809 -0.680024 -1.18309 -0.310527
817 1.88292 0.482454 0.204773
633 -1.70263 0.848455 1.52799
697 -0.280331 0.190305 1.59489
73 -0.425795 -0.378943 0.980998
481 0.0480175 -0.589773 -0.160329
130 -1.33073 0.533748 -0.837354
1170 -0.888851 0.821157 0.00574106
170 -0.335104 0.289949 -0.825655
178 -0.15241 -0.400267 0.336265
186 -0.273197 -0.391204 -0.25451
730 0.192195 -0.87005 0.172861
162 0.287675 0.924111 0.529492
738 0.121503 -0.0164183 0.11938
746 0.780645 0.612493 0.418787
754 0.338332 1.21532 0.588658
762 -0.414949 -0.421462 0.180519
778 -0.484489 -0.115011 -0.450956
786 -0.617372 -0.131157 -0.4756
154 0.0942816 -0.311987 0.162378
794 0.227159 0.243704 0.505941
802 1.04502 0.102288 -0.810753
810 0.540221 0.409877 -0.111036
818 0.660289 1.81659 -0.708254
82 -1.10077 -0.289608 0.182059
1196 -0.0618266 -0.568486 0.0362135
180 -0.598696 -0.141671 -0.981511
188 0.546354 -0.180289 0.616229
164 1.87135 -0.0985926 0.727504
196 -0.321253 0.492979 0.285951
740 -0.293999 0.932136 0.262612
748 0.111894 -0.535414 1.29763
756 -0.545258 -0.689587 -0.713995
764 0.620794 0.145211 -0.0848549
772 0.442685 0.248121 2.10268
156 0.964308 -0.702436 -0.453076
780 0.904698 0.187121 0.865273
796 -0.738878 -0.906488 0.331223
804 0.806512 0.173075 1.50281
812 0.503256 -0.438908 -0.00682013
820 0.635171 -0.342394 1.48741
524 1.11774 -0.0789713 0.932102
173 0.709162 -0.285121 -0.3384
181 0.592504 0.49805 -0.239482
165 0.264383 0.161131 0.340256
189 0.0347118 0.435089 -0.574986
725 -0.0541416 0.0849309 -0.749603
733 -0.0937561 -0.643505 1.65087
741 -0.820052 -1.2695 1.49241
749 0.230096 0.361497 -0.237107
757 -0.566287 -0.353161 0.658627
765 0.505729 -0.975956 -0.244963
157 0.579769 -0.838789 -0.617913
773 -1.96197 1.11177 -0.266767
781 1.17766 -0.750529 0.740911
789 0.714996 -1.19111 0.610836
797 0.643963 -0.674669 -0.810572
805 0.671159 -0.81537 -0.193056
813 -1.10621 -0.28808 0.115367
821 -0.662236 0.835029 0.698802
149 0.950923 0.465997 -0.168336
709 0.430828 -1.12183 -0.599755
77 0.398448 0.490266 0.64096
1182 -0.0329704 -0.640331 -0.224605
174 -0.0807712 -0.302647 -0.616895
166 -0.101333 -0.146704 -1.29327
190 0.361815 0.458445 -0.186379
726 0.512686 0.328568 -0.539211
750 -0.303162 0.522599 0.542525
758 1.34469 -0.168757 -0.902965
766 -1.08536 -0.69039 -0.303742
774 0.675737 -0.302357 -0.0845525
790 0.29566 1.43409 -1.32266
798 0.0998352 -1.18493 0.28834
806 0.332444 0.220344 0.0233453
814 -0.328335 -0.549143 0.805682
118 -0.159604 0.0449334 0.152585
70 0.122514 -0.716553 -1.14258
558 0.746797 -0.108137 1.42397
590 -0.790168 -0.826436 -0.719639
1183 -0.271669 0.217379 1.18339
