# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
79600 1.1667
79700 1.28919
79800 1.24951
79900 1.08314
80000 1.11002
80100 1.22265
80200 1.26319
80300 1.12695
80400 1.14982
80500 1.40264
80600 1.37861
80700 1.29054
80800 1.12182
80900 0.964828
81000 0.957236
81100 1.03055
81200 1.02815
81300 0.932851
81400 0.902195
81500 0.963334
81600 1.14013
81700 1.3813
81800 1.55961
81900 1.62398
82000 1.58616
82100 1.32279
82200 1.06676
82300 1.02331
82400 1.17343
82500 1.30593
82600 1.27626
82700 1.19253
82800 1.24627
82900 1.4939
83000 1.70855
83100 1.72444
83200 1.62174
83300 1.56133
83400 1.598
83500 1.56096
83600 1.54979
83700 1.51114
83800 1.3257
83900 1.18913
84000 1.14914
84100 1.07073
84200 1.15481
84300 1.33308
84400 1.36641
84500 1.24499
84600 1.17913
84700 1.1927
84800 1.22513
84900 1.2606
85000 1.11642
85100 0.928308
85200 0.707075
85300 0.620709
85400 0.832801
85500 1.09878
85600 1.24734
85700 1.28528
85800 1.13392
85900 1.06629
86000 1.06125
86100 1.02233
86200 1.08037
86300 1.10524
86400 1.16523
86500 1.27376
86600 1.35723
86700 1.44359
86800 1.46502
86900 1.44516
87000 1.20188
87100 0.971016
87200 1.00232
87300 1.04751
87400 0.827564
87500 0.730379
87600 1.0878
87700 1.25056
87800 1.10324
87900 0.97891
88000 1.00556
88100 1.16513
88200 1.32445
88300 1.23636
88400 1.24841
88500 1.22065
88600 1.11959
88700 1.23241
88800 1.50518
88900 1.56586
89000 1.48407
89100 1.28834
89200 1.18682
89300 1.34693
89400 1.41236
89500 1.39347
89600 1.29407
89700 1.23873
89800 1.29218
89900 1.28183
90000 1.2259
90100 1.17199
90200 1.24406
90300 1.35381
90400 1.41567
90500 1.46147
90600 1.444
90700 1.3569
90800 1.3038
90900 1.22522
91000 1.1175
91100 1.00537
91200 1.01853
91300 1.10865
91400 1.05482
91500 0.892622
91600 0.904992
91700 1.01129
91800 0.977495
91900 0.99942
92000 1.11678
92100 1.38189
92200 1.42905
92300 1.36288
92400 1.31111
92500 1.34878
92600 1.38183
92700 1.29311
92800 1.28314
92900 1.26704
93000 1.1293
93100 0.94144
93200 0.976319
93300 1.03083
93400 1.05973
93500 1.10835
93600 1.07381
93700 1.10299
93800 1.12684
93900 1.1349
94000 1.29823
94100 1.38644
94200 1.36232
94300 1.29648
94400 1.28044
94500 1.39607
94600 1.50156
94700 1.51463
94800 1.59517
94900 1.69712
95000 1.62774
95100 1.54898
95200 1.5338
95300 1.48805
95400 1.33061
95500 1.19907
95600 1.21664
95700 1.2351
95800 1.25754
95900 1.32682
96000 1.41526
96100 1.59723
96200 1.65745
96300 1.56693
96400 1.45515
96500 1.33752
96600 1.1845
96700 1.11349
96800 1.2533
96900 1.31691
97000 1.1931
97100 1.17696
97200 1.36868
97300 1.50955
97400 1.38687
97500 1.15121
97600 1.09083
97700 0.819725
97800 0.589811
97900 0.743301
98000 1.01679
98100 1.06926
98200 1.14558
98300 1.17813
98400 1.31118
98500 1.50953
98600 1.525
98700 1.53017
98800 1.43148
98900 1.29124
99000 1.1991
99100 1.09979
99200 1.131
99300 1.05969
99400 1.02307
99500 1.03769
99600 0.966356
99700 0.944126
99800 0.957323
99900 1.19937
100000 1.36543
