# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
31300 1175.84 -5690.33
31400 1176.27 -5691.61
31500 1164.68 -5679.93
31600 1146.93 -5661.62
31700 1161.78 -5676.8
31800 1168.89 -5684.43
31900 1154.15 -5668.33
32000 1147.33 -5662.11
32100 1161.2 -5676.16
32200 1174.18 -5689.04
32300 1169.68 -5684.66
32400 1181.83 -5696.54
32500 1200.3 -5715.81
32600 1186.89 -5701.65
32700 1181.31 -5696.25
32800 1186.79 -5701.96
32900 1174.18 -5688.07
33000 1172.7 -5687.2
33100 1208.22 -5723.9
33200 1216.38 -5731.75
33300 1181.61 -5696.71
33400 1181.65 -5696.56
33500 1198.06 -5713.11
33600 1196.63 -5711.24
33700 1187.35 -5701.53
33800 1191.15 -5705.59
33900 1193.62 -5709.25
34000 1189.85 -5704.58
34100 1196.1 -5711.51
34200 1201.49 -5716.26
34300 1186.73 -5702.23
34400 1165.22 -5680.24
34500 1173.62 -5688.28
34600 1201.19 -5715.84
34700 1215.79 -5730.52
34800 1204.59 -5719.36
34900 1195.67 -5711.15
35000 1191.89 -5707.33
35100 1184.83 -5699.03
35200 1181.32 -5696.47
35300 1187.96 -5703.13
35400 1188.24 -5702.89
35500 1192.41 -5707.54
35600 1193.76 -5709.04
35700 1183.18 -5697.44
35800 1177.77 -5692.59
35900 1185.63 -5700.51
36000 1201.91 -5717.33
36100 1207.05 -5721.29
36200 1203.54 -5719.31
36300 1208.67 -5723.57
36400 1212.15 -5726.82
36500 1230.42 -5745.71
36600 1241.45 -5756.57
36700 1238.9 -5754.25
36800 1240.36 -5755
36900 1230.69 -5745.08
37000 1206.11 -5721.87
37100 1190.28 -5704.96
37200 1187.4 -5702.24
37300 1185.59 -5701.11
37400 1182.95 -5697.79
37500 1184.9 -5699.73
37600 1194.15 -5708.79
37700 1195.94 -5711.05
37800 1202.09 -5717.37
37900 1218.7 -5733.51
38000 1207.91 -5723.09
38100 1189.96 -5704.85
38200 1193.96 -5708.77
38300 1208.98 -5723.72
38400 1214.2 -5729.14
38500 1216.45 -5730.86
38600 1231.33 -5746.28
38700 1242.54 -5757.8
38800 1260.61 -5775.14
38900 1269.41 -5783.94
39000 1266.61 -5782.25
39100 1254.25 -5769.72
39200 1237.98 -5753.37
39300 1243.72 -5759.19
39400 1253.1 -5767.42
39500 1241.08 -5756.67
39600 1230.18 -5745.1
39700 1217.44 -5732.65
39800 1209.64 -5724.84
39900 1212.86 -5727.26
40000 1207.63 -5722.01
40100 1187.44 -5701.8
40200 1191.84 -5707.27
40300 1213.86 -5729.26
40400 1214.31 -5729.51
40500 1211.93 -5727.21
40600 1205.17 -5720.85
40700 1198.7 -5713.87
40800 1214.07 -5729.48
40900 1222.57 -5737.41
41000 1220.89 -5736.42
41100 1207.88 -5723.48
41200 1211.97 -5727.31
41300 1210.35 -5725.72
41400 1205.33 -5719.79
41500 1221.46 -5736.02
41600 1245.16 -5760.22
41700 1249.53 -5764.41
41800 1243.84 -5758.37
41900 1240.33 -5754.77
42000 1225.6 -5741.02
42100 1224.98 -5740.05
42200 1235.32 -5749.6
42300 1225.25 -5739.87
42400 1207.15 -5722.23
42500 1195.28 -5710.29
42600 1199.02 -5714.35
42700 1233.8 -5749.36
42800 1241.25 -5756.62
42900 1238.87 -5753.55
43000 1243.52 -5758.51
43100 1239.18 -5754.03
43200 1226.03 -5739.85
43300 1219.61 -5734.45
43400 1212.39 -5726.43
43500 1199.59 -5714.69
43600 1206.69 -5721.58
43700 1232.42 -5747.16
43800 1244.36 -5759.44
43900 1239.1 -5754.75
44000 1236.45 -5751.47
44100 1229.94 -5744.78
44200 1216.06 -5730.92
44300 1192.54 -5707.58
44400 1172 -5687.18
44500 1168.94 -5683.63
44600 1190.08 -5704.58
44700 1206.69 -5721.88
44800 1220.61 -5735.7
44900 1240.1 -5755.38
45000 1241.62 -5757.2
45100 1244.38 -5760.2
45200 1250.93 -5765.57
45300 1243.85 -5759.16
45400 1236.38 -5751.25
45500 1238.24 -5752.19
45600 1250.72 -5765.57
45700 1233.05 -5748.13
45800 1207.24 -5721.98
45900 1199.42 -5714.36
46000 1192.73 -5707.55
46100 1186.71 -5701.74
46200 1195.7 -5710.96
46300 1196.29 -5711.05
46400 1182.94 -5697.76
46500 1189.74 -5704.79
46600 1203.85 -5718.78
46700 1198.17 -5713.31
46800 1196.22 -5711.69
46900 1179.36 -5694.24
47000 1171.27 -5686.27
47100 1188.54 -5703.36
47200 1210.87 -5725.89
47300 1213.41 -5728.46
47400 1209.38 -5724.25
47500 1205.95 -5720.17
47600 1235.54 -5750.08
47700 1242.41 -5756.94
47800 1202.55 -5716.8
47900 1194.07 -5709.01
48000 1200.07 -5715.98
48100 1212.59 -5727.66
48200 1206.93 -5722.38
48300 1179.79 -5695.52
48400 1168.94 -5684.47
48500 1181.87 -5697.52
48600 1206.11 -5721.47
48700 1205.16 -5720.31
48800 1190.84 -5706.1
48900 1176.47 -5691.5
49000 1174.62 -5689.61
49100 1187.02 -5702.14
49200 1191.33 -5706.33
49300 1194.69 -5709.78
49400 1200.39 -5714.73
49500 1198.28 -5713.37
49600 1204.69 -5719.58
49700 1210.58 -5725.5
49800 1217.48 -5731.88
49900 1235.72 -5751.18
50000 1244.1 -5758.78
50100 1232.29 -5747.22
50200 1230.16 -5746.34
50300 1231.2 -5746
