# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
25100 -3.41061e-13 -2.34479e-13 -2.43361e-13
25200 -3.41061e-13 -2.48246e-13 -2.45137e-13
25300 -3.8014e-13 -2.74447e-13 -2.53131e-13
25400 -3.94351e-13 -2.8344e-13 -2.92211e-13
25500 -3.97904e-13 -2.78444e-13 -2.83329e-13
25600 -3.41061e-13 -3.08642e-13 -2.93099e-13
25700 -3.58824e-13 -3.34399e-13 -2.71783e-13
25800 -3.58824e-13 -3.45501e-13 -2.7045e-13
25900 -3.55271e-13 -3.69482e-13 -2.71116e-13
26000 -3.48166e-13 -3.81917e-13 -2.61124e-13
26100 -3.6593e-13 -3.55271e-13 -2.87992e-13
26200 -3.55271e-13 -3.41949e-13 -3.25073e-13
26300 -4.08562e-13 -3.64153e-13 -3.24185e-13
26400 -3.69482e-13 -4.01457e-13 -3.00204e-13
26500 -3.76588e-13 -3.82805e-13 -3.02869e-13
26600 -3.85469e-13 -3.90799e-13 -2.57572e-13
26700 -4.03233e-13 -4.06786e-13 -2.41585e-13
26800 -4.24549e-13 -3.92575e-13 -2.1938e-13
26900 -4.49418e-13 -3.76588e-13 -2.15827e-13
27000 -3.9968e-13 -3.55271e-13 -2.71783e-13
27100 -3.9968e-13 -2.96652e-13 -2.65565e-13
27200 -4.15668e-13 -3.28626e-13 -2.98428e-13
27300 -4.10338e-13 -3.23297e-13 -2.71783e-13
27400 -4.3876e-13 -2.77112e-13 -2.85105e-13
27500 -4.54747e-13 -2.8777e-13 -2.80664e-13
27600 -4.26326e-13 -2.59348e-13 -2.91323e-13
27700 -4.15668e-13 -2.91323e-13 -3.04645e-13
27800 -4.06786e-13 -2.62901e-13 -3.23297e-13
27900 -4.12115e-13 -2.80664e-13 -3.54383e-13
28000 -4.42313e-13 -2.89546e-13 -3.48166e-13
28100 -4.05009e-13 -2.8777e-13 -3.20632e-13
28200 -3.90799e-13 -2.70006e-13 -3.27738e-13
28300 -3.94351e-13 -2.84217e-13 -2.72671e-13
28400 -4.44977e-13 -2.82441e-13 -2.51354e-13
28500 -4.60298e-13 -2.70006e-13 -1.91847e-13
28600 -4.48752e-13 -2.16716e-13 -1.77636e-13
28700 -4.50751e-13 -1.98952e-13 -1.5099e-13
28800 -4.71623e-13 -2.11386e-13 -1.38556e-13
28900 -4.75175e-13 -2.64677e-13 -1.49214e-13
29000 -5.00933e-13 -2.55795e-13 -1.59872e-13
29100 -4.94715e-13 -2.41585e-13 -1.81188e-13
29200 -4.84057e-13 -2.59348e-13 -1.63425e-13
29300 -5.09814e-13 -2.77112e-13 -1.49214e-13
29400 -4.83613e-13 -3.16192e-13 -1.38556e-13
29500 -4.95604e-13 -2.84217e-13 -9.23706e-14
29600 -5.37348e-13 -2.78888e-13 -9.23706e-14
29700 -5.38236e-13 -2.71783e-13 -9.23706e-14
29800 -5.21361e-13 -2.66454e-13 -1.20792e-13
29900 -5.51559e-13 -2.84217e-13 -1.24345e-13
30000 -5.61329e-13 -3.12639e-13 -1.45661e-13
30100 -5.80869e-13 -3.09086e-13 -1.49214e-13
30200 -5.68434e-13 -2.45137e-13 -1.66978e-13
30300 -5.52447e-13 -2.70006e-13 -1.10134e-13
30400 -5.63993e-13 -2.70006e-13 -1.03029e-13
30500 -5.1914e-13 -2.59348e-13 -1.06581e-13
30600 -4.99156e-13 -2.27374e-13 -1.36779e-13
30700 -5.00933e-13 -2.73559e-13 -1.45661e-13
30800 -5.12923e-13 -2.4869e-13 -1.1191e-13
30900 -5.56222e-13 -2.77112e-13 -1.10134e-13
31000 -5.95968e-13 -2.77112e-13 -1.1724e-13
31100 -5.94191e-13 -2.5846e-13 -1.08358e-13
31200 -6.11067e-13 -2.71783e-13 -1.56319e-13
31300 -6.59028e-13 -2.76223e-13 -1.1191e-13
31400 -6.6791e-13 -2.36255e-13 -1.40332e-13
31500 -6.53699e-13 -2.22933e-13 -1.47438e-13
31600 -6.43929e-13 -1.95399e-13 -1.3145e-13
31700 -6.75016e-13 -1.77636e-13 -1.38556e-13
31800 -6.82121e-13 -1.43885e-13 -1.42109e-13
31900 -6.67022e-13 -1.47438e-13 -1.74083e-13
32000 -6.35936e-13 -1.71418e-13 -1.49214e-13
32100 -6.37712e-13 -1.40332e-13 -1.42109e-13
32200 -6.44818e-13 -1.42997e-13 -1.56319e-13
32300 -6.34159e-13 -1.40776e-13 -1.42109e-13
32400 -6.47482e-13 -1.2701e-13 -1.3145e-13
32500 -6.47926e-13 -1.2701e-13 -1.42109e-13
32600 -6.70131e-13 -1.40332e-13 -1.52767e-13
32700 -6.72795e-13 -1.14575e-13 -1.77636e-13
32800 -6.89226e-13 -1.44773e-13 -1.74083e-13
32900 -7.01661e-13 -1.33227e-13 -1.74083e-13
33000 -6.85674e-13 -9.41469e-14 -1.77636e-13
33100 -6.6791e-13 -1.42109e-13 -1.88294e-13
33200 -6.78568e-13 -1.61648e-13 -2.0961e-13
33300 -7.17648e-13 -1.33227e-13 -2.0961e-13
33400 -7.33635e-13 -1.19904e-13 -2.52243e-13
33500 -7.31859e-13 -1.06581e-13 -2.55795e-13
33600 -6.96332e-13 -1.2701e-13 -2.52243e-13
33700 -6.99885e-13 -1.15463e-13 -2.59348e-13
33800 -6.96332e-13 -1.59872e-13 -2.94875e-13
33900 -7.17648e-13 -1.36779e-13 -2.73559e-13
34000 -7.08766e-13 -1.74083e-13 -3.05533e-13
34100 -7.03437e-13 -1.45661e-13 -3.05533e-13
34200 -6.91003e-13 -1.79412e-13 -3.37508e-13
34300 -6.6791e-13 -1.74083e-13 -3.44613e-13
34400 -6.82121e-13 -1.88294e-13 -3.09086e-13
34500 -6.71463e-13 -2.1938e-13 -3.16192e-13
34600 -6.93667e-13 -2.15827e-13 -2.8777e-13
34700 -6.70575e-13 -2.44249e-13 -3.33955e-13
34800 -6.41265e-13 -1.97176e-13 -3.30402e-13
34900 -6.34159e-13 -1.68754e-13 -3.16192e-13
35000 -5.82645e-13 -1.01252e-13 -3.12639e-13
35100 -5.45342e-13 -1.10134e-13 -3.2685e-13
35200 -5.32907e-13 -1.04805e-13 -3.12639e-13
35300 -5.29354e-13 -1.15463e-13 -3.97904e-13
35400 -5.47118e-13 -8.70415e-14 -4.1922e-13
35500 -5.87974e-13 -3.37508e-14 -3.6593e-13
35600 -6.00409e-13 -6.57252e-14 -3.48166e-13
35700 -6.00409e-13 -4.08562e-14 -3.48166e-13
35800 -6.21725e-13 -5.15143e-14 -3.51719e-13
35900 -6.16396e-13 -2.84217e-14 -3.58824e-13
36000 -6.18172e-13 2.4869e-14 -3.55271e-13
36100 -6.25278e-13 4.44089e-14 -3.55271e-13
36200 -5.73763e-13 7.4607e-14 -3.73035e-13
36300 -6.23501e-13 7.19425e-14 -3.83693e-13
36400 -6.69687e-13 5.68434e-14 -4.26326e-13
36500 -6.71463e-13 6.03961e-14 -4.35207e-13
36600 -6.71463e-13 8.52651e-14 -4.26326e-13
36700 -6.53699e-13 8.08242e-14 -4.33431e-13
36800 -7.03437e-13 7.10543e-15 -4.583e-13
36900 -6.96332e-13 -1.77636e-14 -4.76064e-13
