# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
61300 0.688472
61400 0.688343
61500 0.683674
61600 0.678166
61700 0.67617
61800 0.68054
61900 0.678279
62000 0.665465
62100 0.667057
62200 0.665205
62300 0.66552
62400 0.66945
62500 0.673935
62600 0.669052
62700 0.667163
62800 0.670389
62900 0.667069
63000 0.676267
63100 0.68251
63200 0.675502
63300 0.677673
63400 0.677538
63500 0.671826
63600 0.66701
63700 0.663056
63800 0.662541
63900 0.661118
64000 0.662182
64100 0.667476
64200 0.667622
64300 0.668951
64400 0.672277
64500 0.671464
64600 0.665344
64700 0.658781
64800 0.658414
64900 0.66164
65000 0.65884
65100 0.653695
65200 0.659052
65300 0.666142
65400 0.667418
65500 0.669987
65600 0.679216
65700 0.680472
65800 0.677222
65900 0.679787
66000 0.680288
66100 0.673533
66200 0.670825
66300 0.672996
66400 0.664826
66500 0.669288
66600 0.673202
66700 0.664655
66800 0.660485
66900 0.670076
67000 0.676683
67100 0.67932
67200 0.678448
67300 0.680527
67400 0.691832
67500 0.699669
67600 0.695769
67700 0.683413
67800 0.685548
67900 0.690697
68000 0.693452
68100 0.68918
68200 0.684861
68300 0.682718
68400 0.67262
68500 0.673457
68600 0.683983
68700 0.681165
68800 0.663374
68900 0.656456
69000 0.655469
69100 0.659791
69200 0.662352
69300 0.664441
69400 0.665507
69500 0.670814
69600 0.670638
69700 0.659017
69800 0.646824
69900 0.645542
70000 0.647495
70100 0.645483
70200 0.648177
70300 0.660058
70400 0.6657
70500 0.657353
70600 0.651877
70700 0.659224
70800 0.658238
70900 0.646707
71000 0.650015
71100 0.65365
71200 0.643278
71300 0.644278
71400 0.64722
71500 0.651771
71600 0.651176
71700 0.661214
71800 0.672844
71900 0.67095
72000 0.66615
72100 0.661799
72200 0.660501
72300 0.676406
72400 0.68382
72500 0.675139
72600 0.667856
72700 0.671222
72800 0.674233
72900 0.676852
73000 0.683421
73100 0.684212
73200 0.670028
73300 0.667311
73400 0.668819
73500 0.67134
73600 0.66945
73700 0.665162
73800 0.666521
73900 0.674131
74000 0.678282
74100 0.68246
74200 0.676419
74300 0.673608
74400 0.672992
74500 0.675478
74600 0.667057
74700 0.647395
74800 0.636857
74900 0.645304
75000 0.644465
75100 0.644334
75200 0.652657
75300 0.658603
75400 0.658723
75500 0.656773
75600 0.653783
75700 0.654363
75800 0.658124
75900 0.660268
76000 0.659767
76100 0.658647
76200 0.662329
76300 0.670449
76400 0.673552
76500 0.673307
76600 0.673472
76700 0.66538
76800 0.660828
76900 0.670867
77000 0.672399
77100 0.668072
77200 0.663683
77300 0.666779
77400 0.681649
77500 0.675121
77600 0.677268
77700 0.687428
77800 0.687351
77900 0.678677
78000 0.681147
78100 0.682492
78200 0.676126
78300 0.673403
78400 0.669151
78500 0.664633
78600 0.666233
78700 0.67072
78800 0.668772
78900 0.671079
79000 0.671719
79100 0.66907
79200 0.680613
79300 0.685786
79400 0.681925
79500 0.684144
79600 0.682121
79700 0.671488
79800 0.671437
79900 0.680824
80000 0.677037
80100 0.667745
80200 0.660122
80300 0.665169
80400 0.663888
80500 0.649329
80600 0.651691
80700 0.653971
80800 0.66007
80900 0.666536
81000 0.666651
81100 0.663847
81200 0.668977
81300 0.679571
81400 0.685929
81500 0.688739
81600 0.686704
81700 0.681779
81800 0.67801
81900 0.677993
82000 0.677056
82100 0.683843
82200 0.691194
82300 0.6897
82400 0.68271
82500 0.679851
82600 0.686227
82700 0.695069
82800 0.695782
82900 0.685357
83000 0.677191
83100 0.676085
83200 0.678534
83300 0.676221
83400 0.671478
83500 0.673456
83600 0.675021
83700 0.676765
83800 0.687491
83900 0.693449
84000 0.691767
84100 0.693666
84200 0.685386
84300 0.670308
84400 0.664465
84500 0.666228
84600 0.663818
84700 0.658642
84800 0.654635
84900 0.65037
85000 0.65784
85100 0.665665
85200 0.678947
85300 0.688591
85400 0.683658
85500 0.677677
85600 0.677263
85700 0.67882
85800 0.689453
85900 0.693312
86000 0.69267
86100 0.697134
86200 0.694648
86300 0.6941
86400 0.691924
86500 0.685796
86600 0.680794
86700 0.675031
86800 0.672694
86900 0.670044
87000 0.679093
87100 0.687844
87200 0.680826
87300 0.674479
87400 0.687734
87500 0.696226
87600 0.676697
87700 0.670188
87800 0.680495
87900 0.687618
88000 0.687103
88100 0.677662
88200 0.669688
88300 0.67695
88400 0.675557
88500 0.676127
88600 0.68275
88700 0.679537
88800 0.668527
88900 0.670123
89000 0.675122
89100 0.684126
89200 0.691644
89300 0.683704
89400 0.683388
89500 0.68468
89600 0.687577
89700 0.686379
89800 0.677017
89900 0.672147
90000 0.670332
90100 0.67136
90200 0.668449
90300 0.666896
90400 0.669354
90500 0.672121
90600 0.675405
90700 0.680657
90800 0.681559
90900 0.684518
91000 0.687776
91100 0.688788
91200 0.680409
91300 0.666074
91400 0.661625
91500 0.666539
91600 0.66323
91700 0.65835
91800 0.663474
91900 0.667105
92000 0.66586
92100 0.655542
92200 0.659783
92300 0.667245
92400 0.670265
92500 0.666831
92600 0.663639
92700 0.672308
92800 0.674554
92900 0.675049
93000 0.682463
93100 0.694344
93200 0.690176
93300 0.687108
93400 0.683573
93500 0.678132
93600 0.678509
93700 0.675923
93800 0.675856
93900 0.678591
94000 0.671659
94100 0.672504
94200 0.680673
94300 0.690568
94400 0.697204
94500 0.696081
94600 0.694285
94700 0.696447
94800 0.689438
94900 0.677422
95000 0.672987
95100 0.669491
95200 0.662716
95300 0.659317
95400 0.665024
95500 0.672863
95600 0.673172
95700 0.67814
95800 0.683147
95900 0.682305
96000 0.679239
96100 0.666553
96200 0.660596
96300 0.661464
96400 0.662849
96500 0.665237
96600 0.671352
96700 0.674226
96800 0.666288
96900 0.665647
97000 0.677392
97100 0.682652
97200 0.672452
97300 0.663578
97400 0.666085
97500 0.672488
97600 0.663762
97700 0.670773
97800 0.679739
97900 0.669903
98000 0.657314
98100 0.660692
98200 0.660226
98300 0.662955
98400 0.659794
98500 0.65193
98600 0.658007
98700 0.662321
98800 0.671969
98900 0.68149
99000 0.687835
99100 0.693156
99200 0.688386
99300 0.688064
99400 0.685067
99500 0.677216
99600 0.676837
99700 0.676744
99800 0.679427
99900 0.670725
100000 0.666331
