# Time-averaged data for fix dump_temperature
# TimeStep c_calc_temperature
84500 0.528998
84600 0.527773
84700 0.526162
84800 0.518391
84900 0.534189
85000 0.505187
85100 0.542754
85200 0.560454
85300 0.545007
85400 0.49932
85500 0.5615
85600 0.50529
85700 0.550486
85800 0.513555
85900 0.527107
86000 0.561018
86100 0.516644
86200 0.525696
86300 0.497162
86400 0.542773
86500 0.520085
86600 0.520022
86700 0.520937
86800 0.508257
86900 0.509431
87000 0.565453
87100 0.50994
87200 0.515068
87300 0.551275
87400 0.525709
87500 0.526327
87600 0.53053
87700 0.529967
87800 0.507665
87900 0.527096
88000 0.556853
88100 0.510651
88200 0.528271
88300 0.544598
88400 0.518787
88500 0.519276
88600 0.545992
88700 0.51307
88800 0.508638
88900 0.518894
89000 0.519074
89100 0.514142
89200 0.50786
89300 0.501287
89400 0.517502
89500 0.534303
89600 0.533757
89700 0.505814
89800 0.539726
89900 0.546694
90000 0.54347
90100 0.516514
90200 0.532505
90300 0.503334
90400 0.50489
90500 0.513612
90600 0.531443
90700 0.515151
90800 0.525045
90900 0.523739
91000 0.526167
91100 0.521244
91200 0.53414
91300 0.524017
91400 0.506223
91500 0.5288
91600 0.527379
91700 0.513176
91800 0.506929
91900 0.502958
92000 0.528497
92100 0.51884
92200 0.50978
92300 0.524104
92400 0.520618
92500 0.507867
92600 0.524428
92700 0.514225
92800 0.542795
92900 0.525655
93000 0.539134
93100 0.497205
93200 0.514034
93300 0.539241
93400 0.548559
93500 0.520595
93600 0.523269
93700 0.532023
93800 0.515456
93900 0.532101
94000 0.497298
94100 0.538936
94200 0.52957
94300 0.517652
94400 0.515111
94500 0.503178
94600 0.543579
94700 0.55792
94800 0.517687
94900 0.501329
95000 0.542027
95100 0.519184
95200 0.5356
95300 0.512777
95400 0.518603
95500 0.544134
95600 0.541089
95700 0.507716
95800 0.550623
95900 0.52947
96000 0.509901
96100 0.534402
96200 0.515928
96300 0.530059
96400 0.513063
96500 0.511463
96600 0.542946
96700 0.535786
96800 0.527928
96900 0.482752
97000 0.5234
97100 0.515597
97200 0.531809
97300 0.534379
97400 0.517998
97500 0.542917
97600 0.503358
97700 0.511035
97800 0.49439
97900 0.511181
98000 0.505923
98100 0.529642
98200 0.498163
98300 0.51213
98400 0.535258
98500 0.544004
98600 0.535837
98700 0.53602
98800 0.512704
98900 0.522791
99000 0.5209
99100 0.526408
99200 0.513562
99300 0.519849
99400 0.523803
99500 0.517998
99600 0.536124
99700 0.518398
99800 0.515024
99900 0.535439
100000 0.503421
