# Time-averaged data for fix dump_momentum
# TimeStep c_calc_momentum[1] c_calc_momentum[2] c_calc_momentum[3]
19900 -3.16192e-13 -1.08358e-13 -1.29674e-13
20000 -3.30402e-13 -8.74856e-14 -1.38556e-13
20100 -3.25073e-13 -9.50351e-14 -1.36335e-13
20200 -3.5083e-13 -9.23706e-14 -1.49658e-13
20300 -3.76588e-13 -1.05693e-13 -1.63425e-13
20400 -3.67706e-13 -1.1191e-13 -1.35447e-13
20500 -3.81917e-13 -1.26121e-13 -1.20792e-13
20600 -3.96572e-13 -1.25677e-13 -1.2923e-13
20700 -3.71259e-13 -1.33227e-13 -1.1191e-13
20800 -3.85247e-13 -1.37224e-13 -1.22569e-13
20900 -3.62377e-13 -1.24345e-13 -1.09246e-13
21000 -3.57048e-13 -1.33227e-13 -9.9476e-14
21100 -3.59712e-13 -1.27898e-13 -9.76996e-14
21200 -3.3662e-13 -1.2701e-13 -9.41469e-14
21300 -3.62155e-13 -1.40332e-13 -9.65894e-14
21400 -3.55271e-13 -1.66978e-13 -8.52651e-14
21500 -3.34843e-13 -1.64313e-13 -1.0747e-13
21600 -3.44169e-13 -1.66978e-13 -1.05693e-13
21700 -3.33955e-13 -1.53655e-13 -1.21014e-13
21800 -3.30402e-13 -1.35003e-13 -1.28786e-13
21900 -3.39728e-13 -1.3145e-13 -1.1946e-13
22000 -3.42837e-13 -1.20792e-13 -1.10134e-13
22100 -3.32179e-13 -1.13687e-13 -1.02141e-13
22200 -3.35731e-13 -1.22569e-13 -1.15463e-13
22300 -3.14415e-13 -1.06581e-13 -1.05693e-13
22400 -3.16192e-13 -1.08358e-13 -1.12799e-13
22500 -3.12639e-13 -1.19016e-13 -9.59233e-14
22600 -3.02869e-13 -1.16351e-13 -9.9476e-14
22700 -3.22409e-13 -1.03473e-13 -1.03917e-13
22800 -3.10862e-13 -9.9476e-14 -1.15463e-13
22900 -3.33955e-13 -1.20792e-13 -1.19016e-13
23000 -3.41949e-13 -1.24345e-13 -1.30562e-13
23100 -3.35731e-13 -1.08358e-13 -1.35891e-13
23200 -3.39284e-13 -1.18128e-13 -1.47438e-13
23300 -3.21521e-13 -1.09246e-13 -1.59872e-13
23400 -3.17968e-13 -1.05249e-13 -1.803e-13
23500 -3.01981e-13 -1.13243e-13 -1.84741e-13
23600 -2.93099e-13 -1.13687e-13 -1.88294e-13
23700 -3.10862e-13 -1.08802e-13 -1.59872e-13
23800 -3.05533e-13 -1.02585e-13 -1.45661e-13
23900 -2.96652e-13 -1.23457e-13 -1.03029e-13
24000 -2.92211e-13 -1.19016e-13 -1.08358e-13
24100 -2.85105e-13 -1.03917e-13 -1.27898e-13
24200 -2.74447e-13 -7.99361e-14 -1.47438e-13
24300 -2.73559e-13 -8.43769e-14 -1.26121e-13
24400 -2.90434e-13 -8.61533e-14 -1.27898e-13
24500 -2.93099e-13 -8.26006e-14 -1.30562e-13
24600 -3.05533e-13 -1.1191e-13 -1.18128e-13
24700 -2.84217e-13 -1.27898e-13 -1.23457e-13
24800 -2.90656e-13 -1.35003e-13 -1.12355e-13
24900 -2.97984e-13 -1.43885e-13 -9.85878e-14
25000 -2.8777e-13 -1.42109e-13 -1.11688e-13
25100 -2.86882e-13 -1.22569e-13 -1.01696e-13
25200 -2.73559e-13 -1.20792e-13 -1.08358e-13
25300 -2.84217e-13 -1.27898e-13 -1.18128e-13
25400 -2.70894e-13 -1.22569e-13 -1.15463e-13
25500 -2.77112e-13 -1.03029e-13 -1.11688e-13
25600 -2.85549e-13 -1.2168e-13 -1.23457e-13
25700 -2.78888e-13 -1.39444e-13 -1.35003e-13
25800 -2.96652e-13 -1.34115e-13 -1.42997e-13
25900 -3.05533e-13 -1.15463e-13 -1.32339e-13
26000 -3.0953e-13 -1.13687e-13 -1.13687e-13
26100 -2.76223e-13 -1.14908e-13 -1.19904e-13
26200 -2.77112e-13 -1.40332e-13 -1.16795e-13
26300 -2.96652e-13 -1.22569e-13 -1.33227e-13
26400 -2.69562e-13 -1.16795e-13 -1.35891e-13
26500 -2.8777e-13 -1.24345e-13 -1.24789e-13
26600 -2.84439e-13 -1.11022e-13 -1.04805e-13
26700 -2.93099e-13 -1.1191e-13 -9.62563e-14
26800 -3.10862e-13 -1.51434e-13 -1.06581e-13
26900 -3.03757e-13 -1.75859e-13 -9.76996e-14
27000 -3.37508e-13 -1.69642e-13 -1.03029e-13
27100 -3.23741e-13 -1.59872e-13 -8.43769e-14
27200 -3.40616e-13 -1.72307e-13 -7.81597e-14
27300 -3.32179e-13 -1.86517e-13 -6.4837e-14
27400 -3.31291e-13 -1.96287e-13 -9.14824e-14
27500 -3.49054e-13 -2.13163e-13 -8.26006e-14
27600 -3.4639e-13 -2.11386e-13 -9.9476e-14
27700 -3.49942e-13 -2.07834e-13 -9.41469e-14
27800 -3.51719e-13 -2.20268e-13 -8.83738e-14
27900 -3.77476e-13 -2.12275e-13 -8.9706e-14
28000 -3.73923e-13 -2.04281e-13 -1.03029e-13
28100 -3.82361e-13 -2.16716e-13 -1.13687e-13
28200 -3.81917e-13 -2.01617e-13 -8.39329e-14
28300 -3.61489e-13 -1.69642e-13 -8.34888e-14
28400 -3.67706e-13 -1.77636e-13 -8.26006e-14
28500 -3.65041e-13 -1.78968e-13 -9.23706e-14
28600 -3.53051e-13 -1.65201e-13 -9.76996e-14
28700 -3.55049e-13 -1.37224e-13 -8.79297e-14
28800 -3.49942e-13 -1.35003e-13 -7.54952e-14
28900 -3.63709e-13 -1.25233e-13 -5.9508e-14
29000 -3.66818e-13 -1.03029e-13 -6.75016e-14
29100 -3.74367e-13 -1.12799e-13 -5.81757e-14
29200 -3.79252e-13 -1.2168e-13 -5.68434e-14
29300 -3.7037e-13 -1.08358e-13 -6.66134e-14
29400 -3.93907e-13 -1.0747e-13 -7.79377e-14
29500 -3.81029e-13 -9.50351e-14 -5.32907e-14
29600 -3.88134e-13 -1.39444e-13 -6.12843e-14
29700 -4.00568e-13 -1.35003e-13 -6.43929e-14
29800 -3.83693e-13 -1.15463e-13 -6.9722e-14
29900 -3.96128e-13 -1.05693e-13 -7.63833e-14
30000 -3.88578e-13 -8.77076e-14 -8.34888e-14
30100 -3.90799e-13 -7.32747e-14 -8.26006e-14
30200 -4.16556e-13 -8.03801e-14 -9.59233e-14
30300 -4.35207e-13 -1.02141e-13 -8.4821e-14
30400 -4.50306e-13 -1.0747e-13 -7.4607e-14
30500 -4.57412e-13 -1.11022e-13 -5.01821e-14
30600 -4.76952e-13 -1.22569e-13 -6.61693e-14
30700 -4.76508e-13 -1.20126e-13 -6.75016e-14
30800 -4.92051e-13 -1.17684e-13 -9.85878e-14
30900 -5.20473e-13 -1.10467e-13 -1.02141e-13
31000 -5.41789e-13 -1.19016e-13 -1.11022e-13
31100 -5.68434e-13 -1.10578e-13 -8.9706e-14
31200 -5.65548e-13 -1.08358e-13 -7.28306e-14
31300 -5.93303e-13 -1.03029e-13 -4.79616e-14
