# Time-averaged data for fix dump_pressure
# TimeStep c_calc_pressure
15900 0.75241
16000 1.21898
16100 0.133246
16200 1.11778
16300 1.34065
16400 0.277484
16500 0.982792
16600 1.10009
16700 0.809207
16800 0.994663
16900 0.306775
17000 0.932802
17100 0.472038
17200 0.339826
17300 0.995726
17400 0.625799
17500 0.853147
17600 0.856583
17700 0.291571
17800 0.632244
17900 1.1494
18000 0.864946
18100 0.914161
18200 0.649098
18300 1.38751
18400 0.921087
18500 0.801519
18600 0.848627
18700 0.575203
18800 1.02534
18900 0.725791
19000 0.641785
19100 1.30444
19200 0.397444
19300 0.712512
19400 1.17613
19500 0.169443
19600 0.801455
19700 0.169287
19800 0.959954
19900 0.0714303
20000 0.977652
20100 0.520777
20200 0.60338
20300 0.794854
20400 0.860825
20500 1.23776
20600 0.757158
20700 1.18962
20800 1.33427
20900 0.997176
21000 0.850268
21100 0.762235
21200 0.82454
21300 0.99593
21400 0.881275
21500 0.79762
21600 0.770159
21700 0.478301
21800 0.415881
21900 1.19789
22000 0.753858
22100 1.33514
22200 0.814504
22300 0.622774
22400 1.28777
22500 0.95692
22600 0.295452
22700 0.987876
22800 0.620612
22900 0.805343
23000 1.14457
23100 0.218533
23200 0.250138
23300 0.527108
23400 0.378336
23500 0.605081
23600 1.34112
23700 1.0174
23800 0.706378
23900 1.03664
24000 1.32467
24100 0.829169
24200 0.809236
24300 1.30136
24400 0.913092
24500 0.935965
24600 0.670284
24700 0.835196
24800 0.777098
24900 1.33538
25000 0.56216
25100 1.3512
25200 0.932302
25300 0.746054
25400 1.68475
25500 1.1468
25600 0.547477
25700 0.245824
25800 1.22254
25900 0.831745
26000 0.375072
26100 1.32954
26200 0.543434
26300 1.15313
26400 1.09167
26500 0.945316
26600 0.595552
26700 1.12897
26800 0.82722
26900 1.21216
27000 1.01032
27100 1.16078
27200 1.09557
27300 0.925018
27400 1.11324
27500 1.18295
27600 0.621147
27700 0.740599
27800 1.07232
27900 0.669518
28000 0.438988
28100 0.552332
28200 0.697187
28300 0.827753
28400 0.871956
28500 0.229331
28600 0.416907
28700 0.728771
28800 0.949426
28900 1.17615
29000 1.05786
29100 0.942912
29200 0.582804
29300 0.618611
29400 0.981079
29500 0.611676
29600 0.898524
29700 0.922171
29800 0.701993
29900 0.794655
30000 1.03419
30100 1.12841
30200 0.491995
30300 0.9933
30400 1.23509
30500 0.993261
30600 0.829637
30700 0.76547
30800 0.801571
30900 0.75832
31000 1.0815
31100 0.295103
31200 0.397449
31300 1.10857
31400 0.813918
31500 1.15836
31600 0.278633
31700 1.4952
31800 0.791843
31900 1.24959
32000 0.515025
32100 0.90191
32200 0.328278
32300 0.876254
32400 1.17549
32500 0.884245
32600 1.07962
32700 1.27272
32800 0.457903
32900 1.6752
33000 0.36433
33100 0.88741
33200 0.787329
33300 0.69481
33400 0.706158
33500 0.700947
33600 0.785946
33700 0.864294
33800 0.582264
33900 0.878036
34000 0.637162
34100 0.433879
34200 0.268828
34300 0.764428
34400 0.592161
34500 0.984826
34600 0.144768
34700 1.07501
34800 0.947152
34900 1.13773
35000 1.27857
35100 0.915314
35200 1.10523
35300 0.841118
35400 0.730726
35500 0.789822
35600 0.925661
35700 0.938906
35800 0.744025
35900 0.555867
36000 0.647247
36100 0.848857
36200 0.599883
36300 0.730718
36400 1.14449
36500 0.536961
36600 0.992655
36700 0.514325
36800 1.01326
36900 1.12813
37000 1.10671
37100 0.902281
37200 0.593122
37300 0.497253
37400 0.195778
37500 0.841355
37600 0.318363
37700 0.706981
37800 0.67768
37900 0.511835
38000 0.626989
38100 1.01501
38200 1.20642
38300 0.314626
38400 0.620552
38500 0.291022
38600 0.402098
38700 0.303377
38800 0.599373
38900 0.419509
39000 0.726514
39100 1.10754
39200 1.20054
39300 0.87365
39400 0.527229
39500 0.970056
39600 0.657048
39700 1.35636
39800 0.649479
39900 0.594736
40000 0.509588
40100 0.961367
40200 1.13487
40300 -0.0729533
40400 0.449914
40500 0.726898
40600 0.362419
40700 1.1509
40800 1.05956
40900 0.678827
41000 0.670412
41100 0.658561
41200 0.410587
41300 0.868223
41400 0.665001
41500 1.62005
41600 1.11172
41700 1.28931
41800 0.936821
41900 1.25474
42000 0.682306
42100 1.15181
42200 0.830756
42300 0.534143
42400 1.81268
42500 0.670386
42600 1.31003
42700 0.587015
42800 0.75306
42900 0.35494
43000 0.558469
43100 0.594378
43200 0.636789
43300 0.60444
43400 1.57346
43500 1.6384
43600 1.45415
43700 1.12047
43800 0.755589
43900 0.695036
44000 1.20789
44100 1.2541
44200 1.44891
44300 0.823332
44400 1.43392
44500 0.413448
44600 1.34174
44700 0.714246
44800 0.654622
44900 0.797917
45000 0.630091
45100 0.778123
45200 0.837871
45300 0.613267
45400 1.11529
45500 0.259634
45600 0.634352
45700 0.678725
45800 0.139268
