# Time-averaged data for fix dump_ke
# TimeStep c_calc_ke c_calc_pe
34400 399.293 -2647.99
34500 390.535 -2639.23
34600 418.85 -2667.54
34700 401.429 -2650.12
34800 379.633 -2628.33
34900 393.428 -2642.12
35000 406.848 -2655.54
35100 390.403 -2639.1
35200 387.202 -2635.9
35300 385.102 -2633.79
35400 403.458 -2652.15
35500 404.441 -2653.14
35600 393.788 -2642.48
35700 385.421 -2634.12
35800 377.264 -2625.96
35900 395.61 -2644.31
36000 402.302 -2651
36100 384.25 -2632.95
36200 391.07 -2639.77
36300 399.595 -2648.3
36400 396.199 -2644.9
36500 410.168 -2658.87
36600 403.575 -2652.27
36700 388.97 -2637.67
36800 384.644 -2633.34
36900 371.734 -2620.43
37000 396.5 -2645.2
37100 390.411 -2639.11
37200 393.947 -2642.64
37300 413.078 -2661.79
37400 407.956 -2656.66
37500 387.924 -2636.62
37600 385.037 -2633.74
37700 394.07 -2642.77
37800 405.496 -2654.2
37900 419.819 -2668.52
38000 404.173 -2652.87
38100 365.012 -2613.71
38200 415.255 -2663.96
38300 403.722 -2652.42
38400 396.574 -2645.26
38500 404.855 -2653.55
38600 400.623 -2649.32
38700 415.828 -2664.53
38800 406.404 -2655.1
38900 390.269 -2638.96
39000 410.473 -2659.17
39100 399.167 -2647.87
39200 393.528 -2642.22
39300 383.914 -2632.61
39400 403.406 -2652.1
39500 402.644 -2651.34
39600 407.969 -2656.67
39700 383.373 -2632.07
39800 389.504 -2638.2
39900 394.127 -2642.81
40000 410.379 -2659.08
40100 401.719 -2650.42
40200 401.446 -2650.14
40300 402.698 -2651.39
40400 405.037 -2653.74
40500 388 -2636.69
40600 378.291 -2626.98
40700 390.953 -2639.65
40800 383.088 -2631.79
40900 391.679 -2640.37
41000 395.787 -2644.49
41100 370.071 -2618.76
41200 380.216 -2628.91
41300 391.088 -2639.79
41400 401.754 -2650.46
41500 396.681 -2645.39
41600 370.064 -2618.76
41700 387.468 -2636.16
41800 387.934 -2636.62
41900 398.483 -2647.19
42000 390.409 -2639.11
42100 407.686 -2656.39
42200 401.163 -2649.86
42300 399.133 -2647.83
42400 386.234 -2634.93
42500 397.967 -2646.67
42600 394.155 -2642.85
42700 404.809 -2653.51
42800 411.576 -2660.28
42900 392.593 -2641.29
43000 396.541 -2645.24
43100 377.67 -2626.36
43200 375.009 -2623.7
43300 384.324 -2633.02
43400 397.496 -2646.19
43500 366.249 -2614.95
43600 393.66 -2642.36
43700 405.851 -2654.55
43800 377.889 -2626.58
43900 407.469 -2656.17
44000 381.621 -2630.31
44100 419.75 -2668.45
44200 401.096 -2649.79
44300 381.34 -2630.03
44400 397.359 -2646.06
44500 383.055 -2631.75
44600 399.363 -2648.06
44700 386.429 -2635.12
44800 397.137 -2645.83
44900 405.918 -2654.62
45000 402.109 -2650.81
45100 436.72 -2685.44
45200 394.148 -2642.85
45300 423.193 -2671.9
45400 399.296 -2647.99
45500 403.579 -2652.28
45600 410.301 -2659
45700 392.004 -2640.7
45800 389.865 -2638.56
45900 403.651 -2652.35
46000 378.088 -2626.78
46100 384.754 -2633.46
46200 411.23 -2659.93
46300 387.751 -2636.45
46400 415.23 -2663.94
46500 396.303 -2645
46600 387.919 -2636.62
46700 391.505 -2640.19
46800 400.888 -2649.59
46900 406.037 -2654.74
